Time,SessionTime,Distance,Speed,RPM,nGear,Throttle,Brake,DRS,X,Y,Z
0 days 00:00:00,0 days 01:56:26.092000,0.21361525785818158,311.94499968,11130.02998272,8,100.0,False,0,-1384.6862247576191,-802.9878455626158,1871.0218290083697
0 days 00:00:00.011000,0 days 01:56:26.103000,1.1694444444444443,312.0,11133.0,8,100.0,False,0,-1383.8945948138035,-793.6168072201995,1871.019538374632
0 days 00:00:00.064000,0 days 01:56:26.156000,5.776615291777465,312.3312496,11152.5437264,8,100.0,False,0,-1380.0,-749.0,1871.0
0 days 00:00:00.164000,0 days 01:56:26.256000,14.47221334399714,312.9562496,11189.4187264,8,100.0,False,0,-1372.0,-662.0,1871.0
0 days 00:00:00.171000,0 days 01:56:26.263000,15.080555555555556,313.0,11192.0,8,100.0,False,0,-1371.355850870057,-654.8274048008503,1871.015395693288
0 days 00:00:00.411000,0 days 01:56:26.503000,35.94722222222222,313.0,11245.0,8,100.0,False,0,-1344.174641075827,-335.58385336782726,1872.7553415636426
0 days 00:00:00.444000,0 days 01:56:26.536000,38.83195798867837,313.4124992,11247.199995733334,8,99.86250026666667,False,0,-1341.0,-298.0,1873.0
0 days 00:00:00.651000,0 days 01:56:26.743000,57.01388888888889,316.0,11261.0,8,99.0,False,0,-1327.8979492445733,-145.4597114353018,1874.0687594822473
0 days 00:00:00.904000,0 days 01:56:26.996000,79.28785733966464,316.9035712,11269.1321408,8,99.9035712,False,0,-1316.0,-18.0,1875.0
0 days 00:00:00.931000,0 days 01:56:27.023000,81.66944444444445,317.0,11270.0,8,100.0,False,0,-1314.0871963994605,2.224238148284975,1875.1301035807985
0 days 00:00:01.091000,0 days 01:56:27.183000,95.80277777777778,318.0,11325.0,8,100.0,False,0,-1300.9165824459797,144.01184358889964,1875.9105491064886
0 days 00:00:01.144000,0 days 01:56:27.236000,100.4899620327993,318.1656248,11336.2624864,8,100.0,False,0,-1297.0,192.0,1876.0
0 days 00:00:01.204000,0 days 01:56:27.296000,105.79913226188636,318.3531248,11349.0124864,8,100.0,False,0,-1293.0,245.0,1876.0
0 days 00:00:01.404000,0 days 01:56:27.496000,123.53591086314546,318.9781248,11391.5124864,8,100.0,False,0,-1277.0,421.0,1877.0
0 days 00:00:01.411000,0 days 01:56:27.503000,124.15833333333333,319.0,11393.0,8,100.0,False,0,-1276.3428058727548,428.23630619573373,1877.042317307323
0 days 00:00:01.731000,0 days 01:56:27.823000,152.69166666666666,321.0,11450.0,8,100.0,False,0,-1242.0980027256564,827.5143262423783,1878.8151709167325
0 days 00:00:01.764000,0 days 01:56:27.856000,155.63301525154318,321.0,11454.28999168,8,100.0,False,0,-1239.0,864.0,1879.0
0 days 00:00:01.931000,0 days 01:56:28.023000,170.52499999999998,321.0,11476.0,8,100.0,False,0,-1225.8604711788146,1017.4957737178502,1879.9698377651914
0 days 00:00:02.143000,0 days 01:56:28.235000,189.56073753230885,322.325,11496.758333333333,8,100.0,False,0,-1213.0,1167.0,1881.0
0 days 00:00:02.411000,0 days 01:56:28.503000,213.72499999999997,324.0,11523.0,8,100.0,False,0,-1198.229903760515,1342.6714281305754,1881.4622226240663
0 days 00:00:02.571000,0 days 01:56:28.663000,228.12499999999997,324.0,11546.0,8,100.0,False,0,-1187.8752869574662,1461.2304429603441,1881.9429140370485
0 days 00:00:02.583000,0 days 01:56:28.675000,229.20516001295567,324.0,11545.164345552874,8,100.0,False,0,-1187.0,1471.0,1882.0
0 days 00:00:02.743000,0 days 01:56:28.835000,243.6139739910904,324.0,11534.022286257865,8,100.0,False,0,-1174.0,1615.0,1883.0
0 days 00:00:02.930000,0 days 01:56:29.022000,260.43499999999995,324.0,11521.0,8,100.0,False,0,-1155.9058036318042,1825.106016254543,1884.425587441106
0 days 00:00:03.023000,0 days 01:56:29.115000,268.77856688675894,323.53500032,11526.11499648,8,100.0,False,0,-1148.0,1919.0,1885.0
0 days 00:00:03.130000,0 days 01:56:29.222000,278.37944444444435,323.0,11532.0,8,100.0,False,0,-1140.9790596323164,2003.5891945781914,1885.4368737344703
0 days 00:00:03.323000,0 days 01:56:29.415000,295.7491863510532,323.96019899230214,11508.955224184749,8,100.0,False,0,-1130.0,2134.0,1886.0
0 days 00:00:03.331000,0 days 01:56:29.423000,296.4694444444444,324.0,11508.0,8,100.0,False,0,-1129.4333989924955,2140.4520191296474,1886.032454740261
0 days 00:00:03.523000,0 days 01:56:29.615000,313.75008078801716,324.0,11524.457142857143,8,100.0,False,0,-1114.0,2313.0,1887.0
0 days 00:00:03.611000,0 days 01:56:29.703000,321.6694444444444,324.0,11532.0,8,100.0,False,0,-1107.3950074046206,2388.173216815271,1887.4784407542952
0 days 00:00:03.703000,0 days 01:56:29.795000,329.949299668654,324.0,11527.4,8,100.0,False,0,-1100.0,2474.0,1888.0
0 days 00:00:03.811000,0 days 01:56:29.903000,339.6694444444444,324.0,11522.0,8,100.0,False,0,-1089.1767597326248,2601.4052381751517,1888.6585268263411
0 days 00:00:03.971000,0 days 01:56:30.063000,354.06944444444446,324.0,11545.0,8,100.0,False,0,-1071.1809331724098,2814.6820847797267,1889.645518318751
0 days 00:00:04.043000,0 days 01:56:30.135000,360.54935227195426,324.0,11540.5,8,100.0,False,0,-1065.0,2887.0,1890.0
0 days 00:00:04.131000,0 days 01:56:30.223000,368.4694444444445,324.0,11535.0,8,100.0,False,0,-1059.4095835476273,2951.1370796619904,1890.3454611109937
0 days 00:00:04.363000,0 days 01:56:30.455000,389.3496873371603,324.0,11581.4,8,100.0,False,0,-1049.0,3067.0,1891.0
0 days 00:00:04.371000,0 days 01:56:30.463000,390.0694444444445,324.0,11583.0,8,100.0,False,0,-1048.4989245998354,3072.765448174926,1891.024657051243
0 days 00:00:04.571000,0 days 01:56:30.663000,408.06944444444446,324.0,11534.0,8,100.0,False,0,-1032.4332802119186,3260.7638462427676,1891.7159239969274
0 days 00:00:04.644000,0 days 01:56:30.736000,414.6584061771428,324.4562496,11550.8812352,8,100.0,False,0,-1026.0,3336.0,1892.0
0 days 00:00:04.731000,0 days 01:56:30.823000,422.5138888888889,325.0,11571.0,8,100.0,False,0,-1018.379749115574,3424.60392414328,1892.3591288954133
0 days 00:00:04.884000,0 days 01:56:30.976000,436.2936640644799,324.36250026666664,11563.3500032,8,100.0,False,0,-1006.0,3569.0,1893.0
0 days 00:00:04.971000,0 days 01:56:31.063000,444.11388888888894,324.0,11559.0,8,100.0,False,0,-1000.294039241733,3637.380462260488,1893.3320065946036
0 days 00:00:05.124000,0 days 01:56:31.216000,457.8453989402378,323.45357165714285,11538.235722971429,8,100.0,False,0,-991.0,3749.0,1894.0
0 days 00:00:05.251000,0 days 01:56:31.343000,469.2361111111112,323.0,11521.0,8,100.0,False,0,-981.5970585674729,3856.5275770605285,1894.8437981511725
0 days 00:00:05.411000,0 days 01:56:31.503000,483.5916666666667,323.0,11521.0,8,100.0,False,0,-968.299716848315,4004.8272015420703,1895.8816569356345
0 days 00:00:05.464000,0 days 01:56:31.556000,488.3481620748035,323.0,11513.18250944,8,100.0,False,0,-964.0,4053.0,1896.0
0 days 00:00:05.604000,0 days 01:56:31.696000,500.9154192350742,323.0,11492.53250944,8,100.0,False,0,-953.0,4178.0,1896.0
0 days 00:00:05.764000,0 days 01:56:31.856000,515.2690112168785,323.0,11468.93250944,8,100.0,False,0,-941.0,4322.0,1897.0
0 days 00:00:05.811000,0 days 01:56:31.903000,519.4805555555556,323.0,11462.0,8,100.0,False,0,-937.4312353354012,4363.995647993012,1897.24394375689
0 days 00:00:06.024000,0 days 01:56:32.116000,538.5393345219084,322.2392859428571,11414.835728457143,8,100.0,False,0,-921.0,4553.0,1898.0
0 days 00:00:06.091000,0 days 01:56:32.183000,544.5250000000001,322.0,11400.0,8,100.0,False,0,-915.9094107164831,4613.04455242181,1898.4081621668024
0 days 00:00:06.184000,0 days 01:56:32.276000,552.8260145086577,321.53500032,11393.95500416,8,100.0,False,0,-909.0,4695.0,1899.0
0 days 00:00:06.291000,0 days 01:56:32.383000,562.3583333333335,321.0,11387.0,8,100.0,False,0,-901.404463337881,4783.498886344041,1899.4257290334624
